,0,1,2,3,4
" ""Company"" AUTO PLUS NOR ""","('Peace To Luhansk Region', 65.25189786059352)","('Fedosia Oil Products Supply Company', 63.5515873015873)","('Almaz-Antey Defense Corporation', 63.434459805427544)","('Cossack National Guard', 63.4088134088134)","('Somali Battalion', 62.66534391534392)"
" ""ASTO""","(""'Federal State of Novorossiya'"", 71.42857142857143)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 67.70833333333334)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 67.65432098765433)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 67.41996233521658)","('Cossack National Guard', 64.39393939393939)"
 Kuznetsova Alevtina Ivanovna,"('Z Interavtomatika (IA)', 67.30158730158729)","('Russian National Commercial Bank', 64.64285714285715)","('Luhansk Economic Union', 64.12337662337663)","(""Resort 'Nizhnyaya Oreanda'"", 63.457049486461244)","('Zarya Battalion', 63.17460317460317)"
" ""Guard""","('UAC', 68.88888888888887)","('Bulwark', 67.6190476190476)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 64.76190476190476)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 61.851851851851855)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 61.718213058419245)"
" ""HIMTRADE""","(' Integral', 66.66666666666666)","('Integral', 66.66666666666666)","('P Integral', 64.16666666666667)","("" 'Mostotrest'"", 63.33333333333333)","('Battalion Gvardeysky', 62.77777777777778)"
" ""FlexFit Rus""","('Fedosia Oil Products Supply Company', 61.770081770081774)","('VEB.RF', 59.34343434343434)","('Mir Luganschine', 59.292929292929294)","('Z Interautomatica', 57.72430184194891)","('Free Donbas', 57.57575757575758)"
"ANO ""SINEA""","('Bank Rossiya', 73.94179894179894)","('Luhansk Economic Union', 66.75084175084174)","('C VAD Aktsionernoe Obshchestvo VAD', 64.37908496732025)","('Bank of Russia', 64.28571428571428)","(""' 'Sparkling Wine Plant Novy Svet'"", 63.51851851851852)"
" ""Sparkling Spring""","(""' 'Sparkling Wine Plant Novy Svet'"", 83.37820512820512)","('Mir Luganschine', 66.38888888888889)","('P Sberbank (Public  Sberbank)', 64.26282051282051)","('IS Bank', 63.29365079365079)","('Somali Battalion', 62.5)"
" ""New Technologies""","('Peace To Luhansk Region', 68.50414078674947)","('Aktsionernoe Obshchestvo Genbank', 62.797619047619044)","('Luganskiy Ekonomicheskiy Soyuz', 62.04059829059829)","('Mir Luganschine', 60.972222222222214)","(""P 'Chernomorneftegaz'"", 60.39673046251993)"
UFK for MO (Administration of Leninsky,"(' Feodosia Enterprise of oil', 69.23706923706924)","(""' 'Sparkling Wine Plant Novy Svet'"", 65.47638547638547)","('Black Sea Bank for Development and Reconstruction', 65.39424716764618)","(' Black Sea Bank for Development and Reconstruction', 65.39424716764618)","('Movement Novorossiya of Ignor Strelkov', 65.29248546792407)"
INTERIROBEST ,"(' Integral', 68.05555555555557)","('Integral', 68.05555555555557)","('Industrialny Sberegatelny Bank', 67.02020202020202)","('Z Interavtomatika (IA)', 64.72222222222223)","("" 'Mostotrest'"", 64.44444444444444)"
" ""Balashikhinsky Vodokanal"" ""","('Bank Rossiya', 67.04545454545455)","('Battalion Gvardeysky', 64.2063492063492)","('Kalmius Battalion', 64.05857214680744)","(' Zaliv Shipyard', 62.68037518037518)","('Cossack National Guard', 62.085137085137085)"
 Gavrilov K.D.,"('UralVagonZavod', 66.26984126984127)","(""Azovsky likerovodochny zavod'"", 61.832611832611825)","(' Integral', 61.38888888888889)","('Integral', 61.38888888888889)","('Z Interavtomatika (IA)', 60.55555555555555)"
 GALS-PROFSVIS,"('P Sberbank of Russia', 65.64102564102564)","(' Zaliv Shipyard', 64.56043956043956)","('Bank of Russia', 64.56043956043956)","('Sberbank of Russia', 61.965811965811966)","(""Donbas People's Militia"", 61.2736900780379)"
" ""Evrotek Service""","('Donetsk Republic', 63.05555555555556)","(' Feodosia Enterprise of oil', 62.78943278943279)","('Peace To Luhansk Region', 61.598594642072904)","(""People's Union"", 60.95238095238095)","('Aktsionernoe Obshchestvo Genbank', 60.3792735042735)"
" ""Lotte Rus""","("" 'Mostotrest'"", 70.0)","('Mostotrest, P', 69.17989417989419)","('Otkritie', 66.01851851851852)","('P Mostotrest', 64.41798941798942)","(' TPE', 62.96296296296296)"
" ""ADK 4D""","(""Azovsky likerovodochny zavod'"", 60.317460317460316)","('Donetskaya Narodnaya Respublika', 59.820788530465954)","('Bank Rossiya', 58.333333333333336)","('Narodny Soyuz', 57.6923076923077)","('Bank of Russia', 57.14285714285715)"
Ip Shishwatova Evgeny Viktorovna,"('Peace To Luhansk Region', 66.62614416475972)","('C VAD Aktsionernoe Obshchestvo VAD', 65.3479326513214)","(""'Federativnoye Gosudarstvo Novorossiya'"", 64.67717717717717)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.25595238095238)","('Movement Novorossiya of Ignor Strelkov', 64.10818713450293)"
 Andrianov Vyacheslav Aleksandrovich,"('Donetskaya Narodnaya Respublika', 68.02457757296466)","(""Resort 'Nizhnyaya Oreanda'"", 65.15873015873017)","('C VAD Aktsionernoe Obshchestvo VAD', 64.44211017740429)","(' Research and Production Corporation UralVagonZavod', 64.38095238095238)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 64.09937888198758)"
" ""FIRM INEKS""","('First Crimean Insurance Company', 69.30704898446834)","('Free Donbas', 65.95959595959596)","('IS Bank', 65.71428571428571)","('Free Donbass', 64.44444444444444)","('Mir Luganschine', 61.111111111111114)"
" ""NF""","('Bank of Russia', 71.42857142857143)","(' ""United Aircraft Corporation""', 69.1358024691358)","('United Aircraft Corporation', 69.1358024691358)","('Almaz-Antey Defense Corporation', 68.81720430107526)","('Bank Otkritie Financial Corporation P', 68.46846846846847)"
" ""Store Film""","('Mostotrest, P', 64.44444444444444)","('Rostec', 64.44444444444444)","(""Sobol'"", 63.33333333333333)","('Smert Battalion', 62.698412698412696)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 62.44766505636071)"
 Savchenko Dmitry Gennadevich,"('C VAD Aktsionernoe Obshchestvo VAD', 67.45607333842628)","('The Great Don Army', 65.63492063492063)","('Russian Direct Investment Fund', 64.7827903091061)","(""'Federativnoye Gosudarstvo Novorossiya'"", 64.55383955383955)","('Aktsionernoe Obshchestvo Genbank', 64.33531746031746)"
" ""Promgaz""","(' Promsvyazbank', 86.37362637362637)","('Promsvyazbank P', 85.14285714285714)","('P Promsvyazbank', 77.71428571428571)","("" 'Lenpromtransproyekt'"", 65.91478696741855)","('P SOVCOMBANK', 63.49206349206349)"
" ""BLE-GROUP""","('VEB.RF', 62.03703703703704)","('The Great Don Army', 61.111111111111114)","('Sberbank of Russia', 61.111111111111114)","('Bank Rossiya', 59.25925925925925)","('Bulwark', 58.730158730158735)"
 Mineev Maxim Borisovich,"('Free Donbas', 60.83662714097496)","(""Donbas People's Militia"", 60.758082497212925)","('Free Donbass', 58.816425120772955)","(' ""United Shipbuilding Corporation""', 57.86816269284712)","('IS Bank', 57.72256728778468)"
"Ltd. ""Blyuzi Master""","('Tactical Missiles Corporation ', 59.54473743520396)","('VTB', 59.47712418300654)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 59.096673495268746)","('Almaz-Antey ', 58.74713521772345)","('Almaz-Antey Corp', 58.61928104575163)"
 Negadaev,"(' Integral', 66.66666666666666)","('Integral', 66.66666666666666)","('P Integral', 63.33333333333333)","('Black Sea Bank Development and Reconstruction', 62.923280423280424)","('Black Sea Bank of Development and Reconstruction', 62.59920634920634)"
Russian Avtomotoklub ,"('Russia Bank', 86.18181818181819)","('Russian National Commercial Bank', 83.5)","(""C 'Interavtomatika'"", 71.30718954248366)","('Z Interavtomatika (IA)', 67.77777777777777)","('Vostok Battalion', 64.44444444444444)"
 Gruzdeva Veronika Mikhailovna,"('Z Interavtomatika (IA)', 67.4814063556457)","(""Resort 'Nizhnyaya Oreanda'"", 66.68075276087447)","('UralVagonZavod', 63.843627636731085)","('Bank Otkritie Financial Corporation P', 63.51760108565916)","(""State enterprise 'Universal-Avia'"", 62.26671610431344)"
GBUK G. Moscow MDT them. N.V. Gogol,"('USC', 69.79166666666666)","('P Mostotrest', 59.72222222222222)","("" 'Mostotrest'"", 59.19642857142856)","('O ""VO TPE""', 59.02777777777778)","('Black Sea Bank of Development and Reconstruction', 57.891414141414145)"
 Zubanov Kirill Mikhailovich,"('Bank Otkritie Financial Corporation P', 64.36436436436436)","('Bank Rossiya', 62.03703703703704)","('UralVagonZavod', 60.98284431617764)","('Z Interautomatica', 60.56644880174291)","(""Prizrak Battalion 'Ghost' Battalion"", 59.72799894368522)"
 Volkov A. M.,"('Sovkombank', 62.22222222222222)","('Oplot Battalion', 61.11111111111111)","('Svobodny Donbass', 60.416666666666664)","('Vostok Battalion', 60.27777777777777)","("" 'VO TPE'"", 60.0)"
" ""OMP-Engineering""","('P Integral', 67.46031746031746)","(""P 'Chernomorneftegaz'"", 64.95481127060074)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 60.449287059456545)","(' TPE', 60.0)","('Movement Novorossiya of Ignor Strelkov', 59.415204678362564)"
Ltd. Garant Creation,"(' Almaz-Antey Corporation', 72.09191456903127)","(' ""United Aircraft Corporation""', 70.42005886175133)","('United Aircraft Corporation', 70.42005886175133)","('Stroygazmontazh Corporation (SGM Group)', 67.4845898530109)","(""C 'Interavtomatika'"", 66.80426556587547)"
 Serov Alexander Nikolaevich,"('Sberbank', 65.74074074074075)","('C VAD Aktsionernoe Obshchestvo VAD', 65.56178026766261)","(' Feodosia Enterprise of oil', 64.35115356683984)","('IS Bank', 63.31569664902999)","('Black Sea Bank Development and Reconstruction', 63.153759820426494)"
" ""KESA""","('Sberbank of Russia', 65.74074074074075)","('P Sberbank of Russia', 65.0)","('P Sberbank (Public  Sberbank)', 63.46153846153846)","('Donetskaya Narodnaya Respublika', 62.634408602150536)","(""Resort 'Nizhnyaya Oreanda'"", 62.5)"
" ""M2-MEDIA""","('Movement ""Novorossiya"" of Igor Strelkov', 58.18318318318318)","('Movement Novorossiya of Ignor Strelkov', 58.04093567251463)","('Z Interavtomatika (IA)', 55.833333333333336)","(' CB IS Bank', 55.833333333333336)","('P Integral', 54.99999999999999)"
" ""Vaterink""","('Z Interavtomatika (IA)', 71.66666666666667)","('Sberbank', 66.66666666666666)","('VTB Bank (P)', 64.16666666666667)","(' TPE', 63.888888888888886)","('VTB', 63.888888888888886)"
" ""AAA Favorit Motors""","(' Almaz-Antey Corporation', 65.99157686114208)","('Zarya Battalion', 64.07407407407408)","(""'Federal State of Novorossiya'"", 64.02116402116401)","('Almaz-Antey Defense Corporation', 63.9068100358423)","('Tactical Missiles Corporation ', 63.44645137748586)"
" ""Favorithof on Warsaw""","(""'Federal State of Novorossiya'"", 65.07936507936508)","(' Feodosia Enterprise of oil', 62.71062271062271)","(' ""VO Technopromexport""', 60.877192982456144)","(""'Federativnoye Gosudarstvo Novorossiya'"", 60.735735735735744)","('C VAD Aktsionernoe Obshchestvo VAD', 59.705882352941174)"
" ""Glasstrejd""","('Rostec', 60.0)","('P Mostotrest', 57.777777777777786)","('Bulwark', 57.61904761904763)","(' Integral', 57.50000000000001)","('Integral', 57.50000000000001)"
"ANO ""Center for judicial","('Russian National Commercial Bank', 66.62614416475972)","(""State Concern 'National Association of producers 'Massandra'"", 65.96167625915909)","('Bank Otkritie Financial Corporation P', 65.70598058012246)","('First Crimean Insurance Company', 65.51019906006249)","('Bank of Russia', 64.96894409937889)"
" ""COLLTREKING""","('Otkritie', 62.651515151515156)","(' TPE', 61.61616161616161)","('So-called ""Luhansk Guard""', 60.83662714097496)","('So-called ""Lugansk Guard""', 60.83662714097496)","('Donetsk Republic', 59.60497835497836)"
" ""INVESTGRUPP""","(' Integral', 76.76767676767678)","('Integral', 76.76767676767678)","('P Integral', 65.95959595959596)","('VTB', 61.61616161616161)","('Donetsk Republic', 59.60497835497836)"
" ""AI-ES-EM Systems""","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 63.15713101160863)","('Army of the Southeast', 61.58910533910533)","('Army of the South-East', 60.79545454545454)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 60.74016563146998)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 60.416666666666664)"
" ""ILIUM""","('Russian National Commercial Bank', 65.20833333333333)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 63.252032520325194)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 61.48809523809524)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 61.302083333333336)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 61.23456790123457)"
"Ovan DPO ""Scajag""","('Cossack National Guard', 62.323232323232325)","('Sberbank of Russia', 61.851851851851855)","('O ""VO TPE""', 60.55555555555555)","('P UAC', 60.55555555555555)","('P USC', 60.55555555555555)"
 Sulima Evgeny Vladimirovna,"(""'Federativnoye Gosudarstvo Novorossiya'"", 64.88961488961489)","('Russian National Commercial Bank', 61.69450067476383)","(""State enterprise 'Universal-Avia'"", 61.6430691383253)","('First Crimean Insurance Company', 61.6430691383253)","('Industrialny Sberegatelny Bank', 61.59544159544159)"
" ""Beak""","('Sberbank of Russia', 74.07407407407408)","('P Sberbank of Russia', 73.33333333333334)","('P Sberbank (Public  Sberbank)', 71.7948717948718)","('Sberbank', 70.83333333333334)","('VTB Bank (P)', 68.33333333333333)"
" ""AVTUYUS URAL""","('Kalmius Battalion', 61.76470588235294)","('USC', 61.11111111111111)","('VTB', 61.11111111111111)","(' Integral', 61.11111111111111)","('Integral', 61.11111111111111)"
" ""Intellectual Property Services""","(""State enterprise 'Universal-Avia'"", 70.57659342371826)","('Crimean Republican Enterprise Azov Distillery Plant', 66.16557734204792)","(' Integral', 65.51587301587301)","('Integral', 65.51587301587301)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 64.8338081671415)"
 Gray Mark Evgenievich,"(""' 'Sparkling Wine Plant Novy Svet'"", 59.20634920634921)","(""'Federativnoye Gosudarstvo Novorossiya'"", 58.56123981123981)","('25 January Committee', 58.492063492063494)","('Luganskiy Ekonomicheskiy Soyuz', 58.15628815628816)","('Mir Luganschine', 58.0952380952381)"
" ""Treviso""","(' TPE', 65.07936507936508)","('Movement ""Novorossiya"" of Igor Strelkov', 63.44916344916345)","('Movement Novorossiya of Ignor Strelkov', 63.28320802005013)","(""C 'Interavtomatika'"", 62.55835667600373)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 62.215320910973084)"
" ""Spectr""","('Rostec', 69.44444444444443)","(' TPE', 66.66666666666666)","('USC', 66.66666666666666)","(' ""VO Technopromexport""', 63.21637426900585)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 62.89682539682539)"
" ""TEKHNORESURS""","(""'Federativnoye Gosudarstvo Novorossiya'"", 63.453453453453456)","('Free Donbass', 62.698412698412696)","('Donetsk Republic', 62.268518518518526)","('Aktsionernoe Obshchestvo Genbank', 61.52777777777778)","('Otkritie', 61.38888888888889)"
" ""sphere car body""","('The Great Don Army', 69.05723905723904)","('Sberbank of Russia', 62.59259259259259)","(""People's Union"", 60.95238095238095)","('Free Donbas', 60.577200577200585)","('P UAC', 60.55555555555555)"
" ""UK"" Condos ""","(""So-called 'Lugansk People's Republic'"", 64.12698412698413)","('UAC', 62.96296296296296)","('USC', 62.96296296296296)","('Luhansk Economic Union', 62.58417508417509)","(""Prizrak Battalion 'Ghost' Brigade"", 62.00716845878136)"
" ""TSBR-SERVIS""","('Sberbank of Russia', 64.05723905723906)","('Industrialny Sberegatelny Bank', 63.1986531986532)","(' TPE', 61.61616161616161)","('VTB', 61.61616161616161)","('Russian Direct Investment Fund', 61.41414141414141)"
 Fedosova Lyudmila Sergeevna,"(""'Federativnoye Gosudarstvo Novorossiya'"", 79.59843901872887)","('Fedosia Oil Products Supply Company', 66.1134317274668)","(""'Federal State of Novorossiya'"", 65.87301587301587)","('So-called ""Luhansk Guard""', 65.23317861766284)","('Industrialny Sberegatelny Bank', 63.86614684860299)"
" ""Standard""","('Donetskaya Narodnaya Respublika', 66.93548387096774)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 61.410256410256416)","(""'Federativnoye Gosudarstvo Novorossiya'"", 61.373873873873876)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 61.36363636363637)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 61.29629629629629)"
"ANO CSE ""GARANT""","('Concern Almaz-Antey', 71.84628237259815)","('So-called ""Lugansk Guard""', 69.4052324487107)","('Cossack National Guard', 68.5980685980686)","('So-called ""Luhansk Guard""', 66.37492941840767)","('Donetskaya Narodnaya Respublika', 63.69687660010241)"
 Dyakonov Georgy.,"('Aktsionernoe Obshchestvo Genbank', 63.17550505050505)","('Battalion Gvardeysky', 60.92592592592593)","('Svobodny Donbass', 59.44444444444444)","('Narodny Soyuz', 59.123931623931625)","('Dobrolet', 58.88888888888889)"
" ""Cardinal Studio""","('Kalmius Battalion', 65.16339869281046)","('RDIF', 65.0)","('Zarya Battalion', 64.72222222222223)","('Cossack National Guard', 64.29292929292929)","('Sparta Battalion', 63.61111111111111)"
" ""Motorsport Promothen""","('P Mostotrest', 70.1010101010101)","('O ""VO Technopromexport""', 68.80952380952382)","('Mostotrest, P', 67.77777777777777)","(' ""VO Technopromexport""', 67.5506072874494)","(""Mostotrest;  'Mostotrest'"", 66.98412698412697)"
GDPR_ODETA.,"('P Integral', 67.77777777777777)","('Dobrolet', 64.16666666666667)","('The Great Don Army', 62.31481481481481)","("" 'VO TPE'"", 60.55555555555555)","('Free Donbas', 60.4040404040404)"
" ""RUVAL""","('UralVagonZavod', 65.23809523809524)","('Russian National Commercial Bank', 64.16666666666667)","('Russia Bank', 62.424242424242415)","(' Promsvyazbank', 61.02564102564102)","('Mir Luganschine', 60.55555555555555)"
" ""ATK-GRUPP""","('Bank of Russia', 63.75661375661375)","('Donetsk Republic', 62.5)","('Battalion Gvardeysky', 60.18518518518518)","('Bank Rossiya', 59.25925925925925)","('558 ARP', 58.730158730158735)"
" ""EVILINE""","('Otkritie', 60.11904761904761)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 59.226190476190474)","('P Integral', 57.61904761904763)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 57.479149852031206)","('Luganskiy Ekonomicheskiy Soyuz', 57.46031746031747)"
" ""Pure Service""","('P USC', 62.77777777777778)","('Donetsk Republic', 62.59920634920636)","('P Sberbank (Public  Sberbank)', 62.464387464387464)","(""P 'Chernomorneftegaz'"", 61.25730994152047)","('P SOVCOMBANK', 61.111111111111114)"
" ""ANCOR INDUSTRIAL SOLUTIONS""","('Industrial Savings Bank', 73)","('Russian National Commercial Bank', 69.43299755799757)","(""Prizrak Battalion 'Ghost' Battalion"", 68.11229705966548)","('Russian Direct Investment Fund', 67.86324786324785)","(' ""United Shipbuilding Corporation""', 67.59609942971572)"
" ""Kholibri""","('Somali Battalion', 64.58333333333334)","('Kalmius Battalion', 63.97058823529412)","('Otkritie', 61.66666666666667)","('Bank of Russia', 59.404761904761905)","('Aktsionernoe Obshchestvo Genbank', 59.02777777777778)"
Syes ,"('Mostotrest, P', 66.66666666666666)","('Army of the Southeast', 63.095238095238095)","(""Mostotrest;  'Mostotrest'"", 63.095238095238095)","('Army of the South-East', 62.878787878787875)","('Industrialny Sberegatelny Bank', 62.77777777777778)"
" ""Elevole Engineer""","(""People's Union"", 64.88095238095238)","('Peace To Luhansk Region', 60.07081686429512)","('Black Sea Bank for Development and Reconstruction', 59.003793825222395)","(' Black Sea Bank for Development and Reconstruction', 59.003793825222395)","(""Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences'"", 58.51930320150659)"
" ""Autobomsk""","('P SOVCOMBANK', 66.66666666666666)","(""Sobol'"", 64.44444444444444)","('VTB', 62.96296296296296)","('Sovkombank', 61.851851851851855)","('Peace To Luhansk Region', 58.69565217391304)"
" ""Axiom Project""","('Dobrolet', 66.98717948717949)","("" 'VO TPE'"", 65.8119658119658)","('Almaz-Antey Corp', 62.17948717948718)","(' ""VO Technopromexport""', 61.088618983355815)","('O ""VO TPE""', 60.32051282051282)"
" ""SK Design Retail""","('P Integral', 68.33333333333333)","('Industrial Savings Bank', 66.43673355629876)","(' Feodosia Enterprise of oil', 66.16300366300366)","(""State enterprise 'Universal-Avia'"", 64.13875103391233)","('Bank Rossiya', 63.888888888888886)"
" ""SK DESIGN LOGISTIKS""","('Industrial Savings Bank', 68.66078239075951)","(""Donbass People's Militia"", 61.37539361223572)","('Luganskiy Ekonomicheskiy Soyuz', 59.16457811194653)","(' Feodosia Enterprise of oil', 58.659469185784964)","(""Donbas People's Militia"", 57.8883803712179)"
 chernobon Konstantin Vladimirovich,"('Aktsionernoe Obshchestvo Genbank', 66.58496732026144)","('C VAD Aktsionernoe Obshchestvo VAD', 66.50326797385621)","(""C 'Interavtomatika'"", 66.33986928104575)","(' ""United Shipbuilding Corporation""', 64.67150675136816)","('Bank Otkritie Financial Corporation P', 64.59547783077197)"
AVTO-TRADE SUG ,"("" 'VO TPE'"", 66.34920634920634)","('Battalion Gvardeysky', 65.73593073593074)","('P Mostotrest', 64.68253968253968)","(""'Federativnoye Gosudarstvo Novorossiya'"", 62.612612612612615)","('The Great Don Army', 62.32804232804233)"
 Neverova Tatyana Alekseevna,"('Donetskaya Narodnaya Respublika', 66.19673436877738)","('Concern Almaz-Antey', 64.83430799220274)","('Zarya Battalion', 63.703703703703695)","(""State enterprise 'Universal-Avia'"", 62.86340103544404)","('Battalion Gvardeysky', 62.04585537918871)"
" ""Sanatorium Rodina""","('Somali Battalion', 67.97385620915034)","(' ""United Aircraft Corporation""', 67.93028322440087)","('United Aircraft Corporation', 67.93028322440087)","(' Almaz-Antey Corporation', 67.40769886549938)","('Kalmius Battalion', 66.50326797385621)"
" ""South-New Century""","('The Great Don Army', 64.79302832244008)","('Rostec', 64.2483660130719)","('So-called ""Luhansk Guard""', 61.753080678911886)","('Cossack National Guard', 61.426024955436716)","(""People's Union"", 61.297852474323065)"
" ""Design Bureau Aksiom""","('Sberbank of Russia', 68.3068783068783)","('P Sberbank of Russia', 68.09523809523809)","('Russia Bank', 66.96969696969698)","(' Genbank', 66.34920634920634)","(""Donbas People's Militia"", 65.05175983436854)"
" ""Ji Kom""","('Luganskiy Ekonomicheskiy Soyuz', 60.0)","('Russian National Commercial Bank', 59.72222222222222)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 58.80758807588076)","('P SOVCOMBANK', 58.333333333333336)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 56.932006633499164)"
" ""STREAM INZHINIRING""","(""Resort 'Nizhnyaya Oreanda'"", 65.2065527065527)","('Mir Luganschine', 62.59259259259259)","('First Crimean Insurance Company', 62.40826079535756)","(' ""United Shipbuilding Corporation""', 62.40826079535756)","('Russian Direct Investment Fund', 61.59544159544159)"
" ""Remedtal""","('Free Donbas', 69.31818181818183)","('Free Donbass', 68.05555555555557)","('Smert Battalion', 66.11111111111111)","('The Great Don Army', 58.333333333333336)","('Dobrolet', 58.333333333333336)"
" ""Ay-Teko""","('Almaz-Antey Corp', 67.55952380952381)","('Army of the Southeast', 65.87301587301587)","('Army of the South-East', 65.44011544011545)","("" 'VO TPE'"", 64.28571428571429)","('Zarya Battalion', 61.269841269841265)"
" ""Maria Home""","('Mir Luganschine', 67.46031746031746)","('25 January Committee', 63.57142857142857)","('Smert Battalion', 61.111111111111114)","('Zarya Battalion', 61.11111111111111)","('Z Interavtomatika (IA)', 60.83333333333334)"
" ""Automaster""","("" 'Mostotrest'"", 70.47619047619048)","('P Mostotrest', 66.58730158730158)","('Mostotrest, P', 66.58730158730158)","('Z Interautomatica', 66.16557734204792)","('Almaz-Antey ', 65.15151515151516)"
 Ivanov Alexander Sergeevich,"('Almaz-Antey Defense Corporation', 63.799283154121866)","('Black Sea Bank Development and Reconstruction', 62.116402116402114)","('Black Sea Bank of Development and Reconstruction', 61.14417989417989)","('Black Sea Bank for Development and Reconstruction', 60.84656084656085)","(' Black Sea Bank for Development and Reconstruction', 60.84656084656085)"
" ""Sapphire""","(' Zaliv Shipyard', 61.50793650793651)","(""' 'Sparkling Wine Plant Novy Svet'"", 60.75396825396826)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 60.71428571428571)","(' Research and Production Corporation UralVagonZavod', 59.5)","(""State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA'"", 58.269230769230774)"
" ""Center for Legal Support""","('Peace To Luhansk Region', 65.8958510940608)","('Free Donbas', 65.6986531986532)","(""So-called 'Lugansk People's Republic'"", 65.53675856307434)","('O ""VO Technopromexport""', 65.47619047619048)","("" 'Lenpromtransproyekt'"", 65.4344193817878)"
 Ananiev Ruslan Vladilevich,"('Industrial Savings Bank', 64.53455964325529)","('Crimean Republican Enterprise Azov Distillery Plant', 63.796334384569676)","('Russian National Commercial Bank', 61.69450067476383)","(""State enterprise 'Universal-Avia'"", 60.95028030511902)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 60.59015059015059)"
" ""Crocus International""","('Russian National Commercial Bank', 67.26851851851853)","('First Crimean Insurance Company', 66.78763440860216)","(' Research and Production Corporation UralVagonZavod', 66.66666666666666)","('Smert Battalion', 66.11111111111111)","('Cossack National Guard', 65.97402597402598)"
" ""Softprom-Innovation""","('Movement Novorossiya of Ignor Strelkov', 64.34468524251807)","('Aktsionernoe Obshchestvo Genbank', 64.16301169590643)","('Somali Battalion', 63.42703349282296)","('Movement ""Novorossiya"" of Igor Strelkov', 63.31792318634424)","('Mostotrest, P', 63.01169590643275)"
" ""VIRITEKHNOLOGY""","('P Integral', 63.8095238095238)","(' ""VO Technopromexport""', 62.249373433583955)","(' ""United Shipbuilding Corporation""', 61.22887864823349)","('P United Shipbuilding Corporation', 60.577200577200585)","(' TPE', 60.317460317460316)"
" ""Prana""","('Promsvyazbank P', 68.88888888888887)","('P Sberbank of Russia', 66.66666666666666)","('Sberbank', 65.83333333333333)","(""' 'Sparkling Wine Plant Novy Svet'"", 65.55555555555556)","(""Prizrak Battalion 'Ghost' Brigade"", 65.3763440860215)"
" ""Berin Iglesias Holding""","('Free Donbass', 66.26262626262626)","(' ""United Shipbuilding Corporation""', 63.64498878730377)","('Free Donbas', 63.131313131313135)","(""Donbas People's Militia"", 62.9305477131564)","(""People's Union"", 62.294372294372295)"
" ""Deos Group""","('Narodny Soyuz', 69.85347985347985)","(""People's Union"", 68.57142857142856)","('Donetsk Republic', 68.33333333333333)","('Dobrolet', 63.33333333333333)","('O ""VO TPE""', 63.33333333333333)"
