,0,1,2,3,4
"Ltd. Trading House ""MK-Slicle""","('The Great Don Army', 69.40035273368606)","(""So-called Donetsk People's Republic"", 64.97354497354497)","('Fedosia Oil Products Supply Company', 63.73897707231041)","('Peace To Luhansk Region', 63.272394303937354)","(""Donbas People's Militia"", 62.47987117552335)"
" ""AUTOST""","('Kalmius Battalion', 63.39869281045751)","('Army of the South-East', 62.02020202020202)","('Peace To Luhansk Region', 61.69082125603865)","(""'Federativnoye Gosudarstvo Novorossiya'"", 60.96096096096096)","("" 'Mostotrest'"", 60.55555555555555)"
" ""Avers""","('VEB.RF', 70.0)","(""Azovsky likerovodochny zavod'"", 65.95238095238095)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 63.6231884057971)","('Movement ""Novorossiya"" of Igor Strelkov', 63.60360360360361)","('Movement Novorossiya of Ignor Strelkov', 63.50877192982457)"
" ""VENTELEKTRO""","('VTB', 61.61616161616161)","('Smert Battalion', 59.292929292929294)","('Vneshekonombank', 59.292929292929294)","(""'Federal State of Novorossiya'"", 58.76623376623377)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 58.619528619528616)"
 N'TLOLIY ELENA VITALYLENNA,"('Industrialny Sberegatelny Bank', 66.19658119658119)","(""State enterprise 'Universal-Avia'"", 65.56463776577628)","(""'Federal State of Novorossiya'"", 61.64081017022194)","(""' 'Sparkling Wine Plant Novy Svet'"", 61.59544159544159)","('Concern Almaz-Antey', 61.557740505108924)"
"C ""Balashikhinskaya Tower""","('Cossack National Guard', 67.2979797979798)","('IS Bank', 62.10317460317461)","('Russia Bank', 61.994949494949495)","('Kalmius Battalion', 61.494469582704866)","('Sparta Battalion', 61.111111111111114)"
FGBU FNC Gardening,"('Almaz-Antey Defense Corporation', 60.12544802867383)","('First Crimean Insurance Company', 60.12544802867383)","('Bulwark', 59.78835978835978)","('UAC', 59.25925925925925)","('USC', 59.25925925925925)"
Interfax ,"(' Integral', 90.0)","('Integral', 90.0)","('P Integral', 78.33333333333333)","(""C 'Interavtomatika'"", 70.09803921568628)","('Z Interautomatica', 70.09803921568628)"
" ""Marigard""","(' Zaliv Shipyard', 66.07142857142857)","('Battalion Gvardeysky', 62.77777777777778)","(""' 'Sparkling Wine Plant Novy Svet'"", 59.72222222222222)","('Mir Luganschine', 58.611111111111114)","('Somali Battalion', 58.333333333333336)"
" ""MVS Service""","('Movement ""Novorossiya"" of Igor Strelkov', 62.645372645372646)","('Movement Novorossiya of Ignor Strelkov', 62.40829346092504)","('Mir Luganschine', 60.577200577200585)","('Russian Direct Investment Fund', 59.49494949494949)","('VEB.RF', 59.34343434343434)"
" ""MD""","('Almaz-Antey Defense Corporation', 68.81720430107526)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 67.26190476190476)","('RDIF', 58.333333333333336)","('Dobrolet', 54.166666666666664)","('Dobrolyot', 53.70370370370371)"
" ""Mosovodok""","(""Mostotrest;  'Mostotrest'"", 65.07936507936508)","("" 'Mostotrest'"", 61.48148148148148)","('Movement ""Novorossiya"" of Igor Strelkov', 60.8036608036608)","('Movement Novorossiya of Ignor Strelkov', 60.63770537454748)","(""Azovsky likerovodochny zavod'"", 59.98677248677248)"
Mosenergosbyt ,"("" 'Mostotrest'"", 83.4423076923077)","('Mostotrest, P', 80.33119658119658)","('P Mostotrest', 67.73504273504273)","('Movement Novorossiya of Ignor Strelkov', 66.29554655870446)","('Dobrolyot', 64.67236467236467)"
" ""Nestle Russia""","('Bank of Russia', 72.8937728937729)","('Donetsk Republic', 67.752849002849)","('Russia Bank', 67)","('Bank Rossiya', 65.96459096459097)","('Sberbank of Russia', 64.15954415954417)"
NOTARY OF MOSCOW ALEKSEEV Sergey,"('Movement ""Novorossiya"" of Igor Strelkov', 71.01957726957727)","('Movement Novorossiya of Ignor Strelkov', 70.4031713900135)","(""'Federal State of Novorossiya'"", 66.30952380952381)","(""So-called Donetsk People's Republic"", 65.08116883116882)","('C VAD Aktsionernoe Obshchestvo VAD', 64.18226381461675)"
Oscar-KSB ,"('Russia Bank', 66.18566618566618)","('Aktsionernoe Obshchestvo Genbank', 64.93055555555554)","('USC', 62.96296296296296)","('Sberbank of Russia', 62.698412698412696)","('Donetsk Republic', 62.5)"
" ""Regional Network","("" 'Lenpromtransproyekt'"", 68.27485380116958)","(' Integral', 67.55952380952381)","('Integral', 67.55952380952381)","('P Integral', 67.26851851851853)","(""Resort 'Nizhnyaya Oreanda'"", 63.888888888888886)"
SOREL INVEST PLYUS ,"('Donetsk Republic', 66.66666666666666)","(""State enterprise 'Universal-Avia'"", 66.12903225806451)","('O ""VO TPE""', 65.93915343915344)","(""Donbass People's Militia"", 65.2065527065527)","(' Feodosia Enterprise of oil', 63.817663817663814)"
"C ""Spline Center""","(""People's Union"", 66.03174603174602)","('C VAD Aktsionernoe Obshchestvo VAD', 62.14680744092509)","('Crimean Republican Enterprise Azov Distillery Plant', 61.69000933706816)","('Cossack National Guard', 60.7070707070707)","('P USC', 60.55555555555555)"
" ""Antal Rasha""","(""Prizrak Battalion 'Ghost' Battalion"", 65.65656565656566)","('Zarya Battalion', 65.33910533910534)","('Battalion Gvardeysky', 64.49494949494951)","(""C 'Interavtomatika'"", 63.50903997962821)","('Z Interautomatica', 63.50903997962821)"
" ""NetKubub""","('Donetsk Republic', 70.83333333333334)","('VTB', 63.888888888888886)","(' ""United Shipbuilding Corporation""', 59.22939068100358)","('Vneshekonombank', 58.88888888888889)","('P United Shipbuilding Corporation', 58.838383838383834)"
" ""VERTRS""","("" 'Lenpromtransproyekt'"", 69.88304093567251)","('VTB', 66.66666666666666)","('VEB.RF', 66.66666666666666)","(""Federal United Enterprise 'Crimea Railway'"", 65.27777777777779)","(' Feodosia Enterprise of oil', 60.85470085470086)"
Sireem Sensor ,"('Free Donbass', 71.9017094017094)","('Free Donbas', 67.73226773226773)","(""People's Union"", 63.003663003663)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 61.68710516536603)","('Russian Direct Investment Fund', 61.639471639471644)"
" ""Translog""","('UralVagonZavod', 67.06349206349206)","('Industrial Savings Bank', 63.121118012422365)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 62.70263424518744)","('Industrialny Sberegatelny Bank', 60.75396825396826)","('Mir Luganschine', 60.55555555555555)"
" ""Promo Diedzhl""","('RDIF', 66.02564102564102)","('P Integral', 62.82051282051282)","('P Mostotrest', 59.82905982905983)","(' Promsvyazbank', 58.97435897435898)","('Narodny Soyuz', 58.54700854700855)"
